"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL031","PL035","PL015","PL020","PL025","PL040","PL051","PL060","PL100","PL111","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY010G","PY020G","PY021G","PY030G","PY031G","PY035G","PY050G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PD020","PD030","PD050","PD060","PD070","PD080","PD090","PW010","PW020","PW030","PW040","PW050","PW060","PW070","PW080","PW090","PW100","PW110","PW120","PW130","PW140","PW150","PW160","PW170","PW180","PW190","PW200","PW210","PW220","PX010","PX020","PX030","PX040","PX050","PX200"
"2013","LT",2661,253.663943990665,"NA","2","2013","19","1",1932,"2","4","2","LT","2","NA","2","7","NA","NA","NA","NA","3","9","NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","4","2","2","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,2971,0,0,0,0,1,"3","1","2","2","1","1","5","9","8","NA","8","4","3","1","NA","2","NA","7","NA","5","6","8","8","1","1","6","6","10","NA","3.4528",80,266,"1","2","184.70337"
"2013","LT",2901,253.663943990665,"NA","2","2013","15","1",1988,"1","1","1","LT","2","NA","5","1","NA","NA","NA","NA","3","2","40","NA","g","NA","12","1","2","NA","NA","NA","NA","3","2","3","2","NA","2","NA",1,1,6228,0,0,0,1,243,0,0,0,0,0,79,0,0,1,"1","1","2","2","1","1","5","6","5","6","9","4","3","2","3","NA","NA","NA","8","7","8","NA","NA","1","NA","9","8","8","4","3.4528",24,290,"1","6","399.7757"
"2013","LT",2951,253.663943990665,"NA","2","2013","25","1",1967,"2","1","3","LT","2","NA","4","3","NA","NA","NA","1","3","5","NA","NA","r-u","NA","13","1","NA","NA","NA","NA","NA","3","2","3","NA","NA","NA","NA",1,1,1922,0,0,90,1,0,2577,0,2097,0,0,0,0,0,1,"1","1","1","2","3","3","3","6","2","5","7","9","NA","2","4","1","NA","NA","5","5","99","7","7","1","1","NA","8","8","2","3.4528",45,295,"1","6","311.58764"
"2013","LT",3011,253.663943990665,"NA","2","2013","20","4",1932,"2","2","3","LT","2","NA","1","7","NA","NA","NA","NA","3","6","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","2","2","3","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,4128,0,0,0,0,1,"1","1","1","2","3","1","6","NA","5","NA","7","4","3","1","3","4","9","NA","4","2","6","6","NA","1","1","NA","8","10","3","3.4528",80,301,"1","2","250.21035"
"2013","LT",3341,253.663943990665,"NA","2","2013","29","2",1952,"1","2","3","LT","1","NA","2","8","NA","1","NA","NA","3","8","40","NA","NA","NA","NA","1","2","NA","NA","NA","NA","NA","2","2","2","6","2","NA",1,1,0,0,0,0,1,0,0,0,0,0,1543,0,2777,0,1,"1","1","2","2","1","2","5","5","7","9","9","4","9","2","4","NA","8","NA","5","5","NA","6","10","1","1","NA","NA","NA","NA","3.4528",60,334,"1","2","203.18035"
"2013","LT",3771,253.663943990665,"NA","2","2013","20","4",1932,"2","4","1","LT","2","NA","1","7","NA","1","NA","NA","3","9","40","NA","NA","NA","NA","1","2","NA","NA","NA","NA","3","1","2","2","NA","2","NA",1,1,0,0,0,7263,1,0,0,0,0,2609,438,0,0,0,1,"1","1","1","2","1","3","3","8","8","NA","7","2","3","1","4","NA","NA","NA","8","NA","6","5","NA","1","1","3","8","5","3","3.4528",80,377,"1","7","293.77145"
"2013","LT",3791,253.663943990665,"NA","2","2013","20","1",1937,"2","4","3","LT","2","NA","2","7","NA","1","NA","NA","3",,"NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","3","2","3","2","NA","2","NA",1,1,0,0,0,1825,1,0,0,0,0,2759,0,0,0,0,1,"1","1","1","2","1","1","3","6","6","2","NA","9","4","3","NA","9","NA","NA","6","99","NA","NA","NA","NA","1","4","NA","8","1","3.4528",75,379,"1","6","424.80726"
"2013","LT",4471,253.663943990665,"NA","2","2013","18","2",1945,"2","4","3","LT","2","NA","3","2","NA","1","NA","NA","3","3","40","NA","b-e","NA","13","1","2","NA","NA","NA","NA","NA","2","1","2","NA","2","NA",1,1,1492,0,0,0,1,0,0,0,0,2254,0,0,0,0,1,"1","1","1","3","3","1","1","5","6","NA","NA","3","4","1","NA","9","NA","7","5","6","NA","7","6","1","1","7","10","8","2","3.4528",67,447,"1","5","254.58712"
"2013","LT",4561,253.663943990665,"NA","2","2013","38","2",1991,"2","1","1","LT","2","NA","3","6","NA","2","NA","NA","3","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","2","3","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1","1","3","3","1","3","1","10","8","3","NA","5","4","NA","NA","3","NA","NA","4","7","NA","7","4","1","NA","NA","5","8","NA","3.4528",21,456,"1","NA","902.39242"
"2013","LT",5091,253.663943990665,"NA","2","2013","12","1",1949,"2","2","1","LT","2","NA","5","7","NA","1","NA","NA","NA","7","NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","3","1","2","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,2318,225,0,0,0,1,"2","1","1","2","NA","3","5","5","NA","NA","9","NA","4","3","4","1","7","NA","99","NA","6","NA","10","NA","1","NA","6","9","NA","3.4528",63,509,"1","7","744.25558"
"2013","LT",5151,253.663943990665,"NA","1","2013","38","3",1940,"2","2","3","LT","2","NA","5","7","NA","1","NA","NA","3","2","NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","NA","1","2","2","NA","2","NA",1,1,0,0,0,1990,1,0,0,0,0,2897,0,0,0,0,1,"1","1","1","3","1","1","5","7","99","3","9","NA","3","2","3","NA","NA","6","NA","6","NA","NA","10","1","1","8","9","6","2","3.4528",72,515,"1","7","229.21244"
"2013","LT",5221,253.663943990665,"NA","2","2013","25","3",1932,"2","4","1","LT","2","NA","1","7","NA","2","NA","NA","3","9","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","4","2","2","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,1517,129,0,0,0,1,"1","1","3","1","1","1","1","NA","NA","4","8","2","4","2","3","2","NA","NA","9","2","NA","0","10","1","NA","4","NA","1","3","3.4528",80,522,"1","3","999.82775"
"2013","LT",5291,253.663943990665,"NA","2","2013","25","2",1935,"2","2","2","LT","2","NA","2","7","NA","2","NA","1","3","7","NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","4","1","3","2","NA","1","NA",1,1,796,0,0,0,1,0,0,0,0,1706,0,0,0,0,1,"1","1","1","3","1","1","5","5","5","3","6","4","3","1","4","2","NA","8","5","1","4","NA","7","2","NA","7","NA","7","NA","3.4528",77,529,"1","6","512.79943"
"2013","LT",5311,253.663943990665,"NA","1","2013","60","4",1962,"1","2","1","LT","2","NA","3","1","NA","NA","NA","NA","3","7","40","NA","b-e","NA","11","1","2","NA","NA","NA","NA","3","2","3","2","NA","NA","NA",1,1,7027,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"3","1","1","1","3","1","5","7","8","7","6","3","NA","3","9","4","3","NA","3","6","99","9","4","NA","1","7","99","8","NA","3.4528",50,531,"1","5","233.07945"
"2013","LT",5491,253.663943990665,"NA","2","2013","10","1",1948,"2","5","1","LT","2","NA","3","7","NA","1","NA","NA","3","0 - 1","30","NA","NA","NA","NA","1","2","NA","NA","NA","NA","4","2","3","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,2213,0,0,0,0,1,"1","1","1","2","1","3","1","7","8","3","6","4","4","1","4","3","5","NA","9","9","4","10","9","NA","2","5","10","10","NA","3.4528",64,549,"1","3","500.86626"
"2013","LT",5651,253.663943990665,"NA","2","2013","20","4",1965,"1","2","3","LT","2","NA","3","1","NA","NA","NA","NA","1","7","40","NA","b-e","NA","13","NA","1","NA","NA","NA","NA","2","2","3","2","4","2","NA",1,1,10840,317,0,1558,1,0,264,0,0,0,0,0,0,0,1,"2","1","2","1","1","1","1","99","8","8","10","NA","NA","NA","4","2","10","6","7","NA","6","NA","9","1","1","7","7","5","3","3.4528",47,565,"1","2","636.37945"
"2013","LT",5791,253.663943990665,"NA","2","2013","25","3",1977,"2","2","3","LT","2","NA","5","3","NA","1","1","NA","3","3","40","NA","b-e","NA","12","1","NA","NA","NA","NA","NA","4","1","1","2","NA","2","NA",1,1,1229,0,0,2079,1,0,0,0,235,0,0,0,0,0,1,"1","1","1","1","1","3","1","NA","5","3","10","NA","4","2","2","NA","NA","NA","99","6","NA","5","NA","NA","NA","6","NA","8","3","3.4528",35,579,"1","2","270.63922"
"2013","LT",5941,253.663943990665,"NA","2","2013","26","1",1983,"2","1","1","LT","2","NA","NA","8","NA","1","NA","NA","3",,"20","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","4","1","3","2","NA","2","NA",1,1,0,0,0,634,1,0,0,0,0,0,1526,0,1125,0,1,"1","1","1","1","1","1","5","NA","10","NA","5","2","4","2","3","1","6","NA","99","3","1","10","9","NA","1","6","10","9","2","3.4528",29,594,"1","7","1265.83461"
"2013","LT",6051,253.663943990665,"NA","1","2013","23","4",1984,"1","3","3","LT","2","NA","3","3","NA","1","2","NA","3","9","NA","NA","g","NA","NA","NA","1","NA","NA","NA","NA","1","2","3","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1","1","1","1","1","3","1","9","NA","5","10","2","3","NA","NA","1","NA","NA","7","NA","NA","1","7","NA","NA","7","8","10","NA","3.4528",28,605,"1","2","1219.45783"
"2013","LT",6401,253.663943990665,"NA","1","2013","11","3",1932,"2","1","3","LT","2","NA","1","7","NA","NA","NA","NA","3",,"40","NA","NA","NA","13","1","NA","NA","NA","NA","NA","2","2","3","2","2","2","NA",1,1,0,0,0,148,1,0,0,0,0,8306,0,0,0,0,1,"2","1","1","3","2","3","1","9","NA","8","10","2","3","1","5","2","10","7","10","2","4","99","10","1","NA","8","10","NA","2","3.4528",80,640,"1","2","81.59077"
"2013","LT",6691,253.663943990665,"NA","2","2013","60","1",1985,"1","1","1","LT","1","NA","3","5","NA","NA","2","NA","NA",,"NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","3","2","3","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1","1","2","2","1","2","6","5","8","2","10","NA","4","NA","3","2","NA","NA","NA","NA","5","99","6","1","NA","7","NA","7","2","3.4528",27,669,"1","6","80.56074"
"2013","LT",6981,253.663943990665,"NA","1","2013","30","1",1938,"1","2","1","LT","2","NA","2","7","NA","1","NA","NA","3","7","40","NA","NA","2","NA","1","NA","NA","NA","NA","NA","2","1","3","2","NA","2","NA",1,1,0,0,0,3060,1,0,0,0,0,3966,410,0,0,0,1,"1","1","1","1","1","1","1","7","9","NA","8","3","4","NA","3","3","4","NA","5","NA","5","8","NA","NA","1","7","3","8","1","3.4528",74,698,"1","2","744.25558"
"2013","LT",7421,253.663943990665,"NA","2","2013","20","1",1932,"2","2","1","LT","2","NA","5","7","NA","NA","NA","NA","3","5","40","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","3","2","3","2","NA","2","NA",1,1,0,0,0,2488,1,0,0,0,0,1763,0,0,0,0,1,"2","1","1","3","1","3","1","NA","8","8","9","4","2","1","3","4","NA","NA","NA","3","4","9","8","2","1","5","NA","7","3","3.4528",80,742,"1","6","354.912"
"2013","LT",7501,253.663943990665,"NA","2","2013","15","2",1950,"1","2","3","LT","2","NA","2","8","NA","NA","NA","NA","3","7","NA","NA","NA","NA","13","1","2","NA","NA","NA","NA","3","2","3","2","NA","1","NA",1,1,0,0,0,1836,1,0,0,0,0,4457,0,0,0,0,1,"1","1","2","2","1","3","6","99","9","NA","8","5","4","2","4","5","7","NA","99","NA","NA","5","5","1","1","7","6","7","2","3.4528",62,750,"1","2","172.6896"
"2013","LT",7561,253.663943990665,"NA","2","2013","45","3",1984,"1","2","1","LT","2","NA","5","1","NA","1","NA","NA","3","2","NA","NA","l-n","NA","NA","1","2","NA","NA","NA","NA","3","2","NA","2","NA","2","NA",1,1,4112,0,0,0,1,0,0,0,0,0,0,148,0,0,1,"1","1","2","1","3","1","1","7","8","7","8","4","3","1","3","3","NA","NA","NA","6","7","99","NA","1","1","4","NA","8","2","3.4528",28,756,"1","2","765.67324"
"2013","LT",7601,253.663943990665,"NA","2","2013","25","4",1984,"1","1","2","LT","2","5","5","5","NA","1","1","NA","3",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","3","2","1","NA","NA",1,1,0,0,0,132,1,0,0,0,0,0,0,0,0,0,1,"1","1","1","2","1","1","1","8","99","NA","7","NA","NA","1","3","NA","9","NA","NA","99","7","4","10","1","1","8","NA","10","3","3.4528",28,760,"1","NA","465.77799"
"2013","LT",7861,253.663943990665,"NA","1","2013","20","3",1933,"2","4","1","LT","2","NA","1","7","NA","NA","NA","NA","3","9","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","4","1","3","2","NA","2","NA",1,1,0,0,0,82,1,0,0,0,0,2489,0,0,0,0,1,"1","1","1","1","1","1","1","3","5","5","10","NA","3","1","3","3","8","NA","6","NA","0","NA","7","1","1","NA","6","10","4","3.4528",79,786,"1","6","241.72919"
"2013","LT",7921,253.663943990665,"NA","2","2013","20","1",1973,"1","2","1","LT","2","NA","5","4","NA","1","NA","NA","3","2","40","NA","g","NA","7","1","2","NA","NA","NA","NA","3","2","3","2","NA","2","NA",1,1,0,0,0,3335,1,0,4897,0,0,0,0,0,0,0,1,"2","1","1","1","1","2","1","7","8","6","5","4","3","2","5","2","6","5","NA","3","8","6","NA","NA","1","4","10","7","2","3.4528",39,792,"1","5","310.79181"
"2013","LT",7931,253.663943990665,"NA","1","2013","20","2",1946,"1","2","1","LT","2","NA","5","7","NA","1","NA","NA","2","0 - 1","NA","NA","NA","NA","12","1","2","NA","NA","NA","NA","4","2","3","2","NA","2","NA",1,1,961,0,0,1830,1,0,0,0,0,1410,0,0,130,0,1,"1","1","1","3","1","3","1","5","NA","8","9","2","9","NA","3","2","NA","10","NA","5","99","9","10","1","1","NA","8","6","2","3.4528",66,793,"1","6","273.99087"
"2013","LT",7971,253.663943990665,"NA","2","2013","18","3",1937,"2","4","1","LT","2","NA","2","7","NA","NA","2","NA","3","9","12","NA","NA","NA","12","1","2","NA","NA","NA","NA","4","2","3","1","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,2325,0,0,0,0,1,"2","1","3","3","1","1","5","7","99","5","6","3","2","3","4","2","NA","NA","6","NA","5","7","NA","NA","1","8","5","NA","2","3.4528",75,797,"1","2","300.51142"
"2013","LT",7991,253.663943990665,"NA","1","2013","15","3",1950,"2","1","1","LT","2","NA","5","8","NA","NA","2","NA","3","2","NA","NA","NA","5","13","1","2","NA","NA","NA","NA","NA","1","3","NA","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,0,0,0,4475,0,1,"2","1","3","1","2","2","5","7","10","NA","10","2","3","2","3","NA","7","10","7","NA","NA","2","10","NA","1","7","NA","8","2","3.4528",62,799,"1","2","585.86053"
"2013","LT",8081,253.663943990665,"NA","2","2013","10","3",1932,"2","4","1","LT","2","NA","0","7","NA","1","NA","NA","3","9","50","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","2","2","3","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,3426,0,0,0,0,1,"1","1","3","2","1","1","3","7","8","6","7","NA","4","2","NA","NA","NA","10","10","6","10","5","10","1","1","5","10","99","3","3.4528",80,808,"1","3","178.31061"
"2013","LT",8131,253.663943990665,"NA","2","2013","17","2",1962,"2","5","1","LT","2","NA","5","3","NA","1","NA","NA","3","7","40","NA","b-e","NA","NA","1","2","NA","NA","NA","NA","2","1","2","2","NA","2","NA",1,1,1658,0,0,0,1,0,0,0,0,0,0,112,0,0,1,"1","1","1","3","1","1","1","NA","7","NA","6","4","3","2","9","1","8","NA","NA","2","NA","4","6","1","1","4","8","9","3","3.4528",50,813,"1","2","571.16488"
"2013","LT",8241,253.663943990665,"NA","2","2013","11","2",1967,"1","2","1","LT","2","NA","3","8","NA","NA","NA","NA","3","9","NA","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","2","3","2","NA","NA","NA",1,1,0,0,0,0,1,0,0,0,0,0,0,0,3440,0,1,"1","1","1","2","1","3","1","99","8","10","9","9","4","2","3","3","10","NA","10","5","7","8","9","1","1","4","10","9","3","3.4528",45,824,"1","7","212.74039"
"2013","LT",8611,253.663943990665,"NA","1","2013","35","1",1988,"2","1","1","LT","1","NA","5","1","NA","NA","NA","NA","3","2","40","NA","r-u","NA","2","1","2","NA","NA","NA","NA","2","2","2","2","NA","2","NA",1,1,4811,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1","1","3","1","2","3","1","8","8","5","7","3","3","3","3","2","7","NA","5","5","99","10","9","NA","1","8","10","9","4","3.4528",24,861,"1","6","321.7013"
"2013","LT",9151,253.663943990665,"NA","2","2013","12","3",1932,"2","4","1","LT","2","NA","1","7","NA","NA","NA","NA","3","8","NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","3","1","2","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,3216,0,0,0,0,1,"1","1","1","2","1","1","5","9","10","8","6","2","3","2","3","3","NA","NA","10","5","5","6","8","1","1","8","99","NA","3","3.4528",80,915,"1","7","562.88375"
"2013","LT",9531,253.663943990665,"NA","1","2013","21","2",1954,"1","2","3","LT","1","NA","5","5","NA","1","2","NA","3","0 - 1","NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","3","1","3","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1","1","2","2","1","3","5","7","8","8","7","4","NA","3","NA","5","NA","NA","10","NA","5","5","8","NA","1","6","8","NA","1","3.4528",58,953,"1","2","203.40433"
"2013","LT",9561,253.663943990665,"NA","1","2013","20","4",1938,"2","2","3","Other","2","NA","4","7","NA","2","2","NA","3","4","40","NA","NA","NA","13","1","NA","NA","NA","NA","NA","NA","2","3","2","NA","2","NA",1,1,975,0,0,323,1,0,78,0,0,2699,0,314,0,0,1,"1","1","1","2","1","1","5","9","NA","7","5","3","4","1","3","NA","NA","9","10","2","5","9","5","1","1","7","NA","8","3","3.4528",74,956,"1","2","238.33442"
"2013","LT",9651,253.663943990665,"NA","2","2013","30","2",1985,"1","1","1","LT","2","NA","3","1","NA","NA","NA","NA","3","8","40","NA","h","NA","NA","1","2","NA","NA","NA","NA","4","2","3","2","NA","2","NA",1,1,5871,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1","1","1","3","2","1","1","8","5","4","NA","3","NA","3","4","3","5","NA","NA","8","5","NA","NA","1","1","6","6","10","4","3.4528",27,965,"1","7","180.88819"
"2013","LT",9801,253.663943990665,"NA","2","2013","10","3",1957,"2","2","2","LT","2","NA","5","1","NA","1","NA","NA","3","2","NA","NA","p","NA","NA","NA","2","NA","NA","NA","NA","2","1","3","2","NA","2","NA",1,1,1500,0,0,75,1,0,0,0,0,0,0,0,0,0,1,"3","1","1","2","2","2","5","NA","NA","0","8","4","4","3","4","4","NA","NA","6","2","6","6","NA","1","NA","5","6","9","2","3.4528",55,980,"1","2","173.51568"
"2013","LT",9931,253.663943990665,"NA","2","2013","22","2",1945,"2","5","1","LT","2","NA","2","7","NA","1","NA","NA","3","8","NA","NA","NA","NA","12","1","2","NA","NA","NA","NA","NA","2","2","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,1954,0,0,0,0,1,"2","1","1","2","1","1","1","8","8","6","8","4","4","2","NA","NA","NA","NA","3","1","5","99","NA","1","1","8","NA","NA","3","3.4528",67,993,"1","2","368.03791"
"2013","LT",10551,253.663943990665,"NA","2","2013","25","4",1953,"2","2","1","LT","1","3","3","1","NA","NA","1","NA","3","9","NA","NA","q","NA","NA","NA","2","NA","NA","NA","NA","NA","2","2","2","NA","2","NA",1,1,588,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1","3","1","1","2","3","6","8","NA","3","7","5","NA","NA","5","NA","NA","NA","7","2","1","NA","8","1","NA","8","6","6","2","3.4528",59,1055,"1","2","92.98"
"2013","LT",10621,253.663943990665,"NA","2","2013","30","3",1966,"2","5","3","LT","2","5","5","1","NA","NA","NA","NA","NA","3","40","NA","p","NA","11","1","2","NA","NA","NA","NA","2","2","3","2","NA","2","NA",1,1,10348,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"2","1","1","1","2","1","2","8","10","9","8","3","4","4","4","3","NA","NA","1","4","7","NA","9","NA","1","7","9","9","2","3.4528",46,1062,"1","2","928.64963"
"2013","LT",11201,253.663943990665,"NA","1","2013","19","3",1948,"2","4","1","LT","2","NA","2","7","NA","1","NA","NA","3","6","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","5","1","1","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,3442,0,0,0,0,1,"1","1","1","2","1","1","4","8","9","2","NA","4","4","2","3","1","NA","9","8","2","99","5","7","NA","1","6","9","7","4","3.4528",64,1120,"1","2","178.11352"
"2013","LT",11801,253.663943990665,"NA","2","2013","10","2",1932,"1","4","3","LT","2","4","5","7","NA","NA","NA","NA","3","2","40","NA","NA","NA","NA","1","2","NA","NA","NA","NA","NA","1","3","1","NA","2","NA",1,1,2172,0,0,0,1,0,0,0,0,525,50,0,0,0,1,"1","1","1","2","2","NA","1","6","7","NA","NA","4","2","2","NA","3","NA","NA","99","9","4","8","10","2","1","5","10","8","3","3.4528",80,1180,"1","2","147.97837"
"2013","LT",11871,253.663943990665,"NA","2","2013","35","4",1946,"2","4","3","LT","2","NA","3","7","NA","NA","NA","NA","3","7","40","NA","NA","NA","13","1","2","NA","NA","NA","NA","3","2","1","2","6","2","NA",1,1,0,0,0,0,1,0,0,0,0,3803,0,0,0,0,1,"1","1","1","2","1","3","1","NA","9","NA","8","NA","9","2","4","2","NA","10","8","2","8","8","8","1","1","7","10","6","2","3.4528",66,1187,"1","2","47.68138"
